2025-11-26 08:37:52 | [SUCCESS] | 数据导出 | 负载设备数据导出
2025-11-26 09:23:29 | [SUCCESS] | 连接 | 正在连接设备 (LOAD)...
2025-11-26 09:23:29 | [SUCCESS] | 通信 | [GJDD-750] 开始连接串口: COM1, 波特率: 57600
2025-11-26 09:23:29 | [SUCCESS] | 通信 | [GJDD-750] 串口连接成功: COM1
2025-11-26 09:23:29 | [SUCCESS] | 连接 | 负载设备连接成功
2025-11-26 09:23:30 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 09:23:30 | [SUCCESS] | 通信 | [GJDD-750] 发送完成: 7 字节
2025-11-26 09:23:32 | [SUCCESS] | 通信 | [GJDD-750] 通信错误: 接收超时
2025-11-26 09:23:33 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 09:23:33 | [SUCCESS] | 通信 | [GJDD-750] 发送完成: 7 字节
2025-11-26 09:23:35 | [SUCCESS] | 通信 | [GJDD-750] 通信错误: 接收超时
2025-11-26 09:23:36 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 09:23:36 | [SUCCESS] | 通信 | [GJDD-750] 发送完成: 7 字节
2025-11-26 09:23:36 | [SUCCESS] | 通信 | [GJDD-750] 串口已关闭
2025-11-26 09:23:36 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 09:23:36 | [SUCCESS] | 通信 | [GJDD-750] 通信错误: 端口被关闭。
2025-11-26 09:23:40 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 09:23:40 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 09:27:04 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 09:30:06 | [SUCCESS] | 连接 | 正在连接设备 (LOAD)...
2025-11-26 09:30:06 | [SUCCESS] | 通信 | [GJDD-750] 开始连接串口: COM1, 波特率: 57600
2025-11-26 09:30:06 | [SUCCESS] | 通信 | [GJDD-750] 串口连接成功: COM1
2025-11-26 09:30:06 | [SUCCESS] | 连接 | 负载设备连接成功
